X1,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Agriculture (GHG Emissions, CAIT)",10.56002,10.50612,10.43627,10.36312,10.43315,10.54005,10.53023,10.3885,10.49255,10.59859,10.58003,10.70864,10.78001,10.75873,10.97398,11.04068,11.13456,11.31426,11.33685,11.31798,11.47067,11.73398,11.76467,11.64709,11.74122,11.87342,11.9785
"Land-Use Change and Forestry (GHG Emissions, CAIT)",8.09187,8.09173,8.09232,8.0924,8.09241,8.09244,7.04055,8.97421,7.84114,7.09385,6.725,7.64383,9.58439,8.8919,9.53553,9.01884,7.46132,6.4649,6.38808,7.03092,6.33258,6.36952,6.50288,6.29946,6.71977,7.39073,5.99997
"Waste (GHG Emissions, CAIT)",2.89242,2.9572,3.00536,3.05825,3.11077,3.12195,3.12443,3.11429,3.09606,3.08988,3.09337,3.06345,3.05091,3.03985,3.012,2.98857,3.00777,3.0201,3.0264,3.03911,3.05785,3.05897,3.07461,3.08578,3.14257,3.19935,3.23017
"Industry (GHG Emissions, CAIT)",2.11251,2.11218,2.21224,2.24352,2.47163,2.62274,2.73638,2.82242,2.81132,2.81454,2.93423,2.98041,3.11063,3.26667,3.4714,3.64044,3.90305,4.16652,4.25162,4.33448,4.59545,4.89405,5.05403,5.26333,5.50135,5.51942,5.68353
"Manufacturing/Construction energy (GHG Emissions, CAIT)",8.5389,8.3071,7.9791,7.8609,7.9133,8.3817,8.1578,8.2071,8.1737,7.8418,8.201,8.2357,8.2119,8.5921,9.4547,10.2782,10.7512,11.3031,11.5927,11.471,12.4129,12.8737,12.8351,12.8975,12.9531,12.8065,12.5091
"Transport (GHG Emissions, CAIT)",9.1685,9.2542,9.4449,9.537,9.7058,9.9541,10.3608,10.5011,10.7393,11.0339,11.365,11.4749,11.7241,11.9968,12.4909,12.7115,12.9641,13.3403,13.3315,13.0866,13.5783,13.7544,13.8979,14.2716,14.4978,14.8908,15.199
"Electricity & Heat (GHG Emissions, CAIT)",18.5896,18.8425,19.132,19.1707,19.3707,19.7617,20.4984,20.9815,21.4187,21.4706,22.3009,22.8277,23.2148,24.4904,25.2377,26.0012,26.9858,28.157,28.0964,27.605,29.3849,30.517,31.1024,31.5827,31.3745,30.9848,30.9152
"Buildings (GHG Emissions, CAIT)",5.7956,5.8778,5.6213,5.7448,5.5392,5.7018,5.8937,5.8085,5.4902,5.6213,5.5778,5.666,5.635,5.8276,5.9066,5.9159,5.8405,5.749,5.9242,5.8123,5.9427,5.7743,5.6892,5.9098,5.7464,5.7964,5.888
"Fugitive from energy production (GHG Emissions, CAIT)",4.63724,4.64449,4.44626,4.37362,4.23757,4.25681,4.3172,4.28198,4.243,4.26885,4.35456,4.44302,4.53421,4.7106,4.84908,5.02094,5.18588,5.32619,5.53682,5.51579,5.62299,5.69991,5.74808,5.76369,5.79951,5.80847,5.8131
