"","Dim.1","Dim.2","Dim.3","Dim.4","cluster","Species"
"24",0.430819679512483,-0.0470900291164922,-0.013708161228247,-0.0306826332962835,"2","Algeria"
"48",0.372218498099948,-0.0139779638998718,0.0213583518458506,-0.00699611925396587,"2","Argentina"
"73",0.167382257404257,0.17013263631094,-0.0790240164581911,-0.0473085158696055,"4","Australia"
"98",0.533733752300672,0.0542123717524987,-0.0792736828255142,0.00730293885909195,"2","Austria"
"123",0.572940457858285,0.0229067252750162,-0.0899043154334408,-0.00312756852558266,"2","Azerbaijan"
"148",0.202842070558671,-0.507968388230234,0.104103584664375,0.0417516443959152,"2","Bangladesh"
"173",0.553614223146709,0.037824449704776,-0.0833758922305884,-0.0105247953197697,"2","Belarus"
"198",0.512075441881103,0.054750138460828,-0.0691514931721439,-0.00531121885341093,"2","Belgium"
"223",-0.347397581636976,-0.363418837146263,0.378045734545334,0.18409770419544,"4","Brazil"
"248",0.552335255877926,0.0461374503405036,-0.104017823154189,0.0082614780345748,"2","Bulgaria"
"273",-0.0551343100629976,0.331964230764367,0.225734960771496,0.112159816000061,"4","Canada"
"298",0.488713200746278,0.0283812508643602,-0.0768556221917829,0.0111274147838824,"2","Chile"
"323",-14.3903597619063,0.525841753920728,-1.14119241982955,0.0120370618830821,"3","China"
"348",0.429756714146566,-0.0878315835142747,-0.0271600626186885,0.00760351645142637,"2","Colombia"
"373",0.597416655238156,0.0352081946371437,-0.105704201894484,-0.00138090264269422,"2","Croatia"
"398",0.613239817212643,0.0398549572870447,-0.113106964477866,-0.00140037419714928,"2","Cyprus"
"423",0.476399262380415,0.0667889782564733,-0.110946855606426,0.00484121953618191,"2","Czech Republic"
"448",0.576168864317402,0.0408065042233927,-0.0990498120626424,0.00114785987323021,"2","Denmark"
"473",0.553629172542279,-0.000745982039134188,-0.0790508100946327,-0.00145164464593139,"2","Ecuador"
"498",0.212963074422493,-0.183249772034806,0.107604959602821,0.0152936337748407,"2","Egypt"
"523",0.593711458444721,0.0460992664120457,-0.1260488519604,-0.00156286358386024,"2","Estonia"
"548",0.545166824332455,0.0629509817326721,-0.091093049536842,0.0212300831318981,"2","Finland"
"573",0.0335594278646634,0.136780287550167,0.213451677251113,0.198463304385988,"4","France"
"598",-0.343107819877281,0.206403862042897,0.102168610023795,0.0298844436517298,"4","Germany"
"623",0.532253066867825,0.0428603477716453,-0.0889938578988086,-0.00410279355494403,"2","Greece"
"648",0.559975998850773,0.0302308747433184,-0.0932593490955747,-0.00539933599364834,"2","Hungary"
"673",0.608571834562333,0.0488809570687704,-0.109212731408924,0.0103522184789937,"2","Iceland"
"698",-5.05646917486866,-3.65398333659858,0.816550535821592,-0.0158232026670952,"1","India"
"723",-0.47281788425463,-0.693939996072541,0.143213189691989,-0.0895411426484385,"4","Indonesia"
"748",0.00130919931522068,0.0437710750526366,0.221350095530425,-0.193118793469907,"4","Iran"
"773",0.409020503694727,-0.0111202838744084,0.00147777308646718,-0.0444276283213176,"2","Iraq"
"798",0.576540188385506,0.0455770627961477,-0.0983795157080592,-0.00113101188892048,"2","Ireland"
"823",0.531886390895785,0.0557517619440006,-0.0873019872731101,0.0113131874031848,"2","Israel"
