country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Croatia,16900,17500,18600,19300,20100,19700,20800,21900,23300,22900,23400,23600,24900,23700,21900,21100,20700,19100,18500,17700,17900,18100,18700,18600
Cuba,25600,26900,24500,24400,25200,26000,25400,26000,25400,24900,25900,26300,25800,27800,28000,33900,29200,29500,27800,27400,29100,28100,28100,28600
Cyprus,5880,6240,6320,6620,6880,7130,7010,7200,7590,7820,8010,8200,8520,8680,8430,8070,7760,7220,6540,6930,6950,7360,7530,7500
Czech Republic,132000,135000,131000,125000,117000,127000,127000,124000,127000,128000,126000,127000,128000,123000,115000,118000,115000,111000,106000,104000,105000,107000,106000,106000
Denmark,61600,74900,65500,61300,58700,54300,55900,55600,60700,55100,51500,59500,54700,51300,48900,49200,44200,39900,41800,37600,35200,37000,34800,34800
Djibouti,330,334,348,341,341,367,367,400,422,407,414,411,462,499,458,517,473,480,556,594,607,600,629,645
Dominica,80.7,73.3,80.7,77,80.7,103,110,103,117,143,143,143,183,165,161,172,154,165,169,176,176,180,181,183
Dominican Republic,15800,17200,17900,18300,18400,19600,19600,21100,21300,18100,18400,19400,20800,20300,19800,20600,21300,21500,21000,21600,23600,24700,24400,24900
Ecuador,22700,24000,18200,22300,21400,20600,23000,24800,26800,28800,30000,28500,31600,33400,35500,35900,35900,31900,40700,45500,42700,40600,39600,41900
Egypt,95000,93600,108000,122000,125000,140000,124000,126000,147000,149000,165000,176000,186000,195000,203000,199000,214000,215000,210000,223000,219000,233000,237000,239000
El Salvador,5000,4420,5420,5740,5590,5680,5860,6080,6440,6260,6300,6720,6850,6410,6320,6320,6510,6510,6100,6170,6740,7060,7040,7140
Equatorial Guinea,84.3,128,304,183,488,458,4330,6350,7690,7060,7530,8180,7870,6430,6780,6890,9400,6990,7700,7310,6030,5650,5730,5690
Eritrea,791,861,768,586,616,605,627,601,711,766,762,545,560,402,497,497,561,619,628,680,671,689,722,741
Estonia,18200,18900,18500,16900,15700,15400,15700,15200,17100,17300,17100,16400,20100,17900,14600,19000,19100,18000,19700,18900,15900,17500,18700,19600
Eswatini,1060,961,1200,1210,1240,1190,1150,1130,1050,1040,1030,1030,1080,1110,1070,1060,1070,1240,1530,902,983,1160,1210,1200
Ethiopia,2510,2800,2980,3150,3100,3470,4270,4430,4880,5160,4960,5320,5840,6420,6480,6340,6890,8110,9920,11800,12900,13900,14600,14900
Fiji,755,814,783,762,776,834,1050,880,1040,1340,1080,1200,1140,878,779,1200,1070,1040,1320,1620,2130,2020,2070,2130
Finland,58200,64100,62800,59400,58900,57100,62600,65100,72700,69000,57100,68400,66800,58700,56000,64100,56600,51300,51800,47700,44200,47300,44700,47000
France,398000,413000,406000,426000,422000,416000,421000,416000,423000,424000,427000,416000,406000,400000,382000,390000,366000,366000,367000,336000,341000,343000,347000,338000
Gabon,4610,4760,4780,4960,4790,4670,4780,4550,4620,4660,4860,4150,4090,4150,4230,4780,4920,5030,5260,5310,5250,5300,5320,5360
Gambia,216,220,224,242,275,275,301,301,301,323,326,352,352,367,381,433,447,455,433,513,524,532,588,611
