"","City","Region","Country","Year","avgtemp","city_ascii","lat","lng","iso2","iso3"
"52","Abilene","North America","US",1995,55.9908441780822,"Abilene",38.9229,-97.2251,"US","USA"
"53","Abilene","North America","US",1996,51.8528808060109,"Abilene",32.4543,-99.7384,"US","USA"
"54","Abilene","North America","US",1996,51.8528808060109,"Abilene",38.9229,-97.2251,"US","USA"
"55","Abilene","North America","US",1997,55.2365,"Abilene",32.4543,-99.7384,"US","USA"
"56","Abilene","North America","US",1997,55.2365,"Abilene",38.9229,-97.2251,"US","USA"
"57","Abilene","North America","US",2014,55.6814719312382,"Abilene",32.4543,-99.7384,"US","USA"
"58","Abilene","North America","US",2014,55.6814719312382,"Abilene",38.9229,-97.2251,"US","USA"
"59","Abilene","North America","US",1999,56.5237157534247,"Abilene",32.4543,-99.7384,"US","USA"
"60","Abilene","North America","US",1999,56.5237157534247,"Abilene",38.9229,-97.2251,"US","USA"
"61","Abilene","North America","US",2013,55.9571507572649,"Abilene",32.4543,-99.7384,"US","USA"
"62","Abilene","North America","US",2013,55.9571507572649,"Abilene",38.9229,-97.2251,"US","USA"
"63","Abilene","North America","US",2007,56.4695612970349,"Abilene",32.4543,-99.7384,"US","USA"
"64","Abilene","North America","US",2007,56.4695612970349,"Abilene",38.9229,-97.2251,"US","USA"
"65","Abilene","North America","US",2008,54.7536573978004,"Abilene",32.4543,-99.7384,"US","USA"
"66","Abilene","North America","US",2008,54.7536573978004,"Abilene",38.9229,-97.2251,"US","USA"
"67","Abilene","North America","US",1998,55.9619640410959,"Abilene",32.4543,-99.7384,"US","USA"
"68","Abilene","North America","US",1998,55.9619640410959,"Abilene",38.9229,-97.2251,"US","USA"
"69","Abilene","North America","US",2006,57.3061483319548,"Abilene",32.4543,-99.7384,"US","USA"
"70","Abilene","North America","US",2006,57.3061483319548,"Abilene",38.9229,-97.2251,"US","USA"
"71","Abilene","North America","US",2011,57.056557552037,"Abilene",32.4543,-99.7384,"US","USA"
"72","Abilene","North America","US",2011,57.056557552037,"Abilene",38.9229,-97.2251,"US","USA"
"73","Abilene","North America","US",2012,58.6443474558229,"Abilene",32.4543,-99.7384,"US","USA"
"74","Abilene","North America","US",2012,58.6443474558229,"Abilene",38.9229,-97.2251,"US","USA"
"75","Abilene","North America","US",2010,56.7550980905048,"Abilene",32.4543,-99.7384,"US","USA"
"76","Abilene","North America","US",2010,56.7550980905048,"Abilene",38.9229,-97.2251,"US","USA"
"77","Abilene","North America","US",2009,55.3001716663777,"Abilene",32.4543,-99.7384,"US","USA"
"78","Abilene","North America","US",2009,55.3001716663777,"Abilene",38.9229,-97.2251,"US","USA"
"79","Abu Dhabi","Middle East","United Arab Emirates",2013,83.3849315068493,"Abu Dhabi",24.4781,54.3686,"AE","ARE"
"80","Abu Dhabi","Middle East","United Arab Emirates",2016,82.4372950819672,"Abu Dhabi",24.4781,54.3686,"AE","ARE"
"81","Abu Dhabi","Middle East","United Arab Emirates",2010,84.5319178082192,"Abu Dhabi",24.4781,54.3686,"AE","ARE"
"82","Abu Dhabi","Middle East","United Arab Emirates",2011,83.8701369863014,"Abu Dhabi",24.4781,54.3686,"AE","ARE"
"83","Abu Dhabi","Middle East","United Arab Emirates",2012,83.9755464480874,"Abu Dhabi",24.4781,54.3686,"AE","ARE"
